ItemNumber,ItemName,QuantityOnHand,SellingPrice,Brand,Category
2L-1001P/C,Aten 1.2m PS/2 KVM Cable to suit CS1x; CS91x; CS124A; CS138A; CS142; CS8xA; CS913x; KH98,0,13.5,ATEN,KVM PRODUCTS - Cables
2L-1003P/C,Aten 3m PS/2 KVM Cable to suit CS1x; CS91x; CS124A; CS138A; CS142; CS8xA; CS913x; KH98,0,16,ATEN,KVM PRODUCTS - Cables
2L-1005P/C,Aten 5m PS/2 KVM Cable to suit CS1x; CS91x; CS124A; CS138A; CS142; CS8xA; CS913x; KH98,0,26,ATEN,KVM PRODUCTS - Cables
2L-1701P,Aten KVM Cable Set PS/2 w/ Audio - DB25 1.8m,0,28,ATEN,KVM PRODUCTS - Cables
2L-1703P,Aten 3m PS/2 KVM Cable with Audio to suit CS228; CS428,0,32,ATEN,KVM PRODUCTS - Cables
2L-1705P,Aten 5m PS/2 KVM Cable with Audio to suit CS228; CS428,0,42,ATEN,KVM PRODUCTS - Cables
2L-1710P,Aten 10m PS/2 KVM Cable with Audio to suit CS228; CS428,0,70,ATEN,KVM PRODUCTS - Cables
2L-5201P,Aten 1.2m PS/2 KVM Cable to suit CS7xE; CS13xx; CS17xxA; CS17xxi; CL5xxx; CL10xx; KL91xx; KN91xx,0,14,ATEN,KVM PRODUCTS - Cables
2L-5202P,Aten 1.8m PS/2 KVM Cable to suit CS7xE; CS13xx; CS17xxA; CS17xxi; CL5xxx; CL10xx; KL91xx; KN91xx,0,22,ATEN,KVM PRODUCTS - Cables
2L-5202U,Aten 1.8m USB KVM Cable with Audio to suit CS8xU; CS174x; CS13xx; CS17xxA; CS17xxi CL5xxx; CL58xx,0,21,ATEN,KVM PRODUCTS - Cables
2L-5202UP,Aten 1.8m USB KVM Cable to suit CS7xE; ACS12xxA; CL10xx,0,27,ATEN,KVM PRODUCTS - Cables
2L-5203P,Aten 3m PS/2 KVM Cable to suit CS7xE; CS13xx; CS17xxA; CS17xxi; CL5xxx; CL10xx; KL91xx; KN91xx,0,16,ATEN,KVM PRODUCTS - Cables
2L-5203U,Aten 3m USB KVM Cable with Audio to suit CS8xU; CS174x; CS13xx; CS17xxA; CS17xxi CL5xxx; CL58xx,0,24,ATEN,KVM PRODUCTS - Cables
2L-5203UP,Aten 3m USB KVM Cable to suit CS7xE; ACS12xxA; CL10xx,0,32,ATEN,KVM PRODUCTS - Cables
2L-5205U,Aten 5m USB KVM Cable with Audio to suit CS8xU; CS174x; CS13xx; CS17xxA; CS17xxi CL5xxx; CL58xx,0,32,ATEN,KVM PRODUCTS - Cables
2L-5206P,Aten 6m PS/2 KVM Cable to suit CS7xE; CS13xx; CS17xxA; CS17xxi; CL5xxx; CL10xx; KL91xx; KN91xx,0,26,ATEN,KVM PRODUCTS - Cables
2L-5206UP,Aten 6m USB KVM Cable to suit CS7xE; ACS12xxA; CL10xx,0,49,ATEN,KVM PRODUCTS - Cables
2L-5210P,Aten 10m PS/2 KVM Cable to suit CS7xE; CS13xx; CS17xxA; CS17xxi; CL5xxx; CL10xx; KL91xx; KN91xx,0,42,ATEN,KVM PRODUCTS - Cables
2L-5301P,Aten 1.2m PS/2 KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,22,ATEN,KVM PRODUCTS - Cables
2L-5302P,Aten 1.8m PS/2 KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,26,ATEN,KVM PRODUCTS - Cables
2L-5302U,Aten 1.8m USB KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,22.7,ATEN,KVM PRODUCTS - Cables
2L-5303P,Aten 3m PS/2 KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,31,ATEN,KVM PRODUCTS - Cables
2L-5303U,Aten 3m USB KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,27.22,ATEN,KVM PRODUCTS - Cables
2L-5305P,Aten 5m PS/2 KVM Cable with Audio to suit CS173xB; CS173xA; CS175x,0,35,ATEN,KVM PRODUCTS - Cables
2L-5502UP,Aten 1.8m USB KVM Cable to suit CS91x; CS8xA; CS913x,3,31,ATEN,KVM PRODUCTS - Cables
2L-5503UP,Aten 3m USB KVM Cable to suit CS91x; CS8xA; CS913x,0,35,ATEN,KVM PRODUCTS - Cables
2L-5506UP,Aten 6m USB KVM Cable to suit CS91x; CS8xA; CS913x,0,42,ATEN,KVM PRODUCTS - Cables
8WD-8311-RD,8ware Stylish In-Ear Headphone with One-Button (RED),10,7,8WARE,Speaker and Headset
8WD-8311-WH,8ware Stylish In-Ear Headphone with One-Button (WHITE),10,7,8WARE,Speaker and Headset
8WD-8SPLT,8ware 8 Ports HDMI 1080P Video Splitter,10,149,8WARE,VIDEO PRODUCTS
8WD-CR350,8ware Mini External USB 3.0 Card Reader,0,27,8WARE,Card Reader
8WD-GS1,8ware World GPS Golf Watch,10,129,8WARE,ACCESSORIES
8WD-HELI-DOCK,8ware USB Wireless Stream Box,10,72,8WARE,Storage Case
8WD-HELI-SHELL,8ware 2.5'' HDD/SSD Wireless Enclosure,10,97,8WARE,Storage Case
